Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
573,"573.20058","Klebsiella pneumoniae strain E02_03_112Ph","cefepime","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.697, F1 score:0.704, AUC:0.745","Computational Method",,
624,"624.2031","Shigella sonnei strain 164675","sulfonamides","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.40443","Klebsiella pneumoniae strain MRSN7076","ciprofloxacin","Susceptible","==1","==","1","mg/L","MIC",,"Vitek",,"missing",,,,,,,
573,"573.40405","Klebsiella pneumoniae strain MRSN430405","cefepime","Resistant",,,,,"Computational Prediction","Accuracy:0.697, F1 score:0.704, AUC:0.745","AdaBoost Classifier","PATRIC",,,,,,,,
624,"624.2179","Shigella sonnei strain 152343","cefotaxime","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.1977","Shigella sonnei strain 206717","tetracycline","Resistant",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
624,"624.2086","Shigella sonnei strain 164673","ampicillin","Susceptible",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
573,"573.18136","Klebsiella pneumoniae strain DSM 30104 strain RIT 418","aztreonam","Susceptible",,,,,,,,,,,"AdaBoost Classifier",,"Accuracy:0.680, F1 score:0.752, AUC:0.735","Computational Method",,
624,"624.2029","Shigella sonnei strain 149263","nalidixic acid","r",,,,,"agar dilution",,,,"EUCAST",2017,,,,"Laboratory Method",,"28591819"
562,"562.52599","Escherichia coli strain B042f","amikacin",,"4",,"4","mg/L","MIC",,,,,,,,,"Laboratory Method",,"31642700"
